"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2024","57.4595","57.4595","57.4595","57.1000","","0.00%"
"05/27/2024","57.4595","57.4578","57.4595","57.4578","","0.00%"
"05/24/2024","57.4578","57.4532","57.4607","57.4293","","0.01%"
"05/23/2024","57.4532","57.4510","57.4532","57.3000","","0.00%"
"05/22/2024","57.4510","57.4464","57.4538","57.0957","","0.01%"
"05/21/2024","57.4464","57.4444","57.4464","57.2750","","0.00%"
"05/20/2024","57.4444","57.4395","57.4473","57.4159","","0.01%"
"05/17/2024","57.4395","57.4370","57.4395","57.2800","","0.00%"
"05/16/2024","57.4370","57.4330","57.4370","57.4330","","0.01%"
"05/15/2024","57.4330","57.4313","57.4359","57.2000","","0.00%"
"05/14/2024","57.4313","57.4268","57.4342","57.2500","","0.01%"
"05/13/2024","57.4268","57.3988","57.4296","57.3960","","0.01%"
"05/10/2024","57.4202","57.4202","57.4231","56.8415","","0.00%"
"05/09/2024","57.4202","57.4182","57.4202","56.9138","","0.00%"
"05/08/2024","57.4182","57.4139","57.4182","57.2500","","0.01%"
"05/07/2024","57.4139","57.4119","57.4139","57.2300","","0.00%"
"05/06/2024","57.4119","57.4048","57.4119","57.2000","","0.93%"
"05/03/2024","56.8850","57.9115","57.9115","56.8850","","-0.91%"
"05/02/2024","57.4048","57.4048","57.4048","57.0500","","0.00%"
"05/01/2024","57.4048","57.4048","57.4048","57.4048","","0.00%"
"04/30/2024","57.4048","57.3997","57.4048","57.3997","","0.01%"
"04/29/2024","57.3997","57.3903","57.3997","57.3100","","0.02%"
"04/26/2024","57.3903","56.9525","57.3903","56.9525","","0.90%"
"04/25/2024","56.8795","56.9434","57.2397","56.9128","","0.03%"
"04/24/2024","56.8613","56.9377","57.1806","56.9128","","0.02%"
"04/23/2024","56.8499","56.9289","57.0667","56.9093","","0.03%"
"04/22/2024","56.8323","56.9230","57.1811","56.8778","","0.02%"
"04/19/2024","56.8204","56.9138","57.0702","56.8727","","0.03%"
"04/18/2024","56.8022","56.8993","57.1511","56.8527","","0.05%"
"04/17/2024","56.7732","56.8993","57.0866","56.8628","","0.00%"
"04/16/2024","56.7732","56.8937","56.9228","56.8503","","0.02%"
"04/15/2024","56.7619","56.8843","56.9059","56.8377","","0.03%"
"04/12/2024","56.7432","56.8792","56.8966","56.8377","","0.02%"
"04/11/2024","56.7329","56.8702","56.8792","56.8702","","0.03%"
"04/10/2024","56.7148","56.8702","57.0324","56.8219","","0.00%"
"04/09/2024","56.7148","56.8647","57.0324","56.8128","","0.02%"
"04/08/2024","56.7040","56.8554","56.9613","56.8364","","0.03%"
"04/05/2024","56.6853","56.8503","57.0426","56.8128","","0.02%"
"04/04/2024","56.6751","56.8415","56.8531","56.6500","","0.03%"
"04/03/2024","56.6576","56.8356","56.8486","56.8132","","0.02%"
"04/02/2024","56.6457","56.8271","56.8356","56.8246","","0.03%"
"04/01/2024","56.6287","56.8246","56.8736","56.7988","","0.01%"
"03/29/2024","56.6236","56.8197","56.9118","56.8128","","0.02%"
"03/28/2024","56.6139","56.8169","56.9319","56.7627","","0.01%"
"03/27/2024","56.6083","56.8126","57.0042","56.7627","","0.02%"
"03/26/2024","56.5998","56.8101","56.9999","56.7627","","0.01%"
"03/25/2024","56.5947","56.8050","56.9473","56.7627","","0.02%"
"03/22/2024","56.5845","56.8022","56.9173","56.6500","","0.01%"
"03/21/2024","56.5789","56.7971","56.8057","56.7688","","0.02%"
"03/20/2024","56.5687","56.7971","56.9094","56.7627","","0.11%"
"03/19/2024","56.5070","56.7892","56.8818","56.7608","","-0.08%"
"03/18/2024","56.5528","56.7864","56.8764","56.7608","","0.01%"
"03/15/2024","56.5472","56.7816","56.8486","56.7581","","0.02%"
"03/14/2024","56.5376","56.7787","56.8188","56.7386","","0.01%"
"03/13/2024","56.5319","56.7736","56.7787","56.7736","","0.02%"
"03/12/2024","56.5217","56.7714","56.8108","56.7627","","0.01%"
"03/11/2024","56.5172","56.7668","56.8086","56.7431","","0.02%"
"03/08/2024","56.5082","56.7643","56.8041","56.7386","","0.01%"
"03/07/2024","56.5031","56.7589","56.7643","56.7589","","0.02%"
"03/06/2024","56.4924","56.7561","56.8212","56.7127","","0.01%"
"03/05/2024","56.4867","56.7510","56.7601","56.7202","","0.02%"
"03/04/2024","56.4766","56.7485","56.7510","56.7485","","0.01%"
"03/01/2024","56.4715","56.7439","56.8000","56.7202","","0.02%"
"02/29/2024","56.4624","56.7383","56.7462","56.7383","","0.02%"
"02/28/2024","56.4511","56.7299","56.7383","56.7150","","0.03%"
"02/27/2024","56.4342","56.7239","56.7299","56.7050","","0.02%"
"02/26/2024","56.4224","56.7152","56.7239","56.6974","","0.03%"
"02/23/2024","56.4049","56.7099","56.7152","56.6900","","0.02%"
"02/22/2024","56.3942","56.7016","56.7099","56.6500","","0.03%"
"02/21/2024","56.3778","56.6966","56.7045","56.6557","","0.02%"
"02/20/2024","56.3677","56.6822","56.6995","56.4937","","0.05%"
"02/19/2024","56.3389","56.6822","56.6822","56.6822","","0.00%"
"02/16/2024","56.3389","56.6735","56.6851","56.6063","","0.03%"
"02/15/2024","56.3215","56.6675","56.6763","56.5776","","0.02%"
"02/14/2024","56.3096","56.6586","56.6704","56.5766","","0.03%"
"02/13/2024","56.2916","56.6530","56.6614","56.5640","","0.02%"
"02/12/2024","56.2804","56.6445","56.6530","56.6445","","0.03%"
"02/09/2024","56.2635","56.6386","56.6445","56.5500","","0.02%"
"02/08/2024","56.2517","56.6299","56.6414","56.5227","","0.03%"
"02/07/2024","56.2343","56.6245","56.6328","56.5391","","0.02%"
"02/06/2024","56.2236","56.6161","56.6274","56.5000","","0.03%"
"02/05/2024","56.2067","56.6091","56.6161","56.6091","","0.02%"
"02/02/2024","56.1927","56.6007","56.6091","56.5000","","-0.72%"
"02/01/2024","56.6007","56.5959","56.6007","56.4500","","0.01%"
"01/31/2024","56.5959","56.5933","56.6170","56.5000","","0.00%"
"01/30/2024","56.5933","56.5888","56.5962","56.4500","","0.01%"
"01/29/2024","56.5888","56.5866","56.5917","56.4230","","0.00%"
"01/26/2024","56.5866","56.5827","56.5895","56.4458","","0.01%"
"01/25/2024","56.5827","56.5807","56.5827","56.4000","","0.00%"
"01/24/2024","56.5807","56.5765","56.5835","56.4899","","0.01%"
"01/23/2024","56.5765","56.5746","56.5765","56.4300","","0.00%"
"01/22/2024","56.5746","56.5698","56.5774","56.3500","","0.01%"
"01/19/2024","56.5698","56.5672","56.5727","56.4226","","0.00%"
"01/18/2024","56.5672","56.5634","56.5672","56.5634","","0.01%"
"01/17/2024","56.5634","56.5616","56.5662","56.3975","","0.00%"
"01/16/2024","56.5616","56.5572","56.5645","56.3459","","0.01%"
"01/15/2024","56.5572","56.5549","56.5572","56.5549","","0.00%"
"01/12/2024","56.5549","56.5507","56.5549","56.3250","","0.01%"
"01/11/2024","56.5507","56.5488","56.5507","56.3250","","0.00%"
"01/10/2024","56.5488","56.5255","56.5488","56.3750","","0.01%"
"01/09/2024","56.5443","56.5255","56.5453","56.3750","","0.00%"
"01/08/2024","56.5453","56.5255","56.5453","56.3300","","0.04%"
"01/05/2024","56.5255","56.5255","56.5378","56.1600","","0.00%"
"01/04/2024","56.5255","56.5308","56.5355","56.1500","","0.00%"
"01/03/2024","56.5255","56.5255","56.5308","56.2000","","0.00%"
"01/02/2024","56.5255","56.3266","56.5255","56.1500","","0.94%"
"01/01/2024","55.9969","56.3266","56.3266","56.3266","","0.00%"
"12/29/2023","55.9969","56.3180","56.3295","56.1350","","0.03%"
"12/28/2023","55.9796","56.3124","56.3209","56.1500","","0.02%"
"12/27/2023","55.9684","56.3032","56.3153","56.1250","","0.03%"
"12/26/2023","55.9499","56.2889","56.3032","56.2889","","0.05%"
"12/25/2023","55.9214","56.2889","56.2889","56.2889","","0.00%"
"12/22/2023","55.9214","56.2827","56.2918","56.2687","","0.02%"
"12/21/2023","55.9091","56.2733","56.2827","56.2733","","0.03%"
"12/20/2023","55.8901","56.2679","56.2761","56.2453","","0.02%"
"12/19/2023","55.8795","56.2587","56.2897","56.2282","","0.03%"
"12/18/2023","55.8610","56.2525","56.2616","56.0968","","0.02%"
"12/15/2023","55.8487","56.2431","56.2525","55.8750","","0.03%"
"12/14/2023","55.8298","56.2375","56.2459","55.8000","","-0.72%"
"12/13/2023","56.2375","56.2291","56.2432","55.7700","","0.01%"
"12/12/2023","56.2291","56.2238","56.2291","55.7700","","0.01%"
"12/11/2023","56.2238","56.2149","56.2267","55.7700","","0.02%"
"12/08/2023","56.2149","56.2090","56.2178","55.7600","","0.01%"
"12/07/2023","56.2090","56.2004","56.2090","55.7600","","0.02%"
"12/06/2023","56.2004","56.1954","56.2004","55.7000","","0.01%"
"12/05/2023","56.1954","56.1862","56.1954","55.7000","","0.02%"
"12/04/2023","56.1862","56.1832","56.1862","55.7000","","0.01%"
"12/01/2023","56.1832","56.1709","56.1832","55.6900","","0.02%"
"11/30/2023","56.1709","56.1709","56.1781","55.7500","","0.00%"
"11/29/2023","56.1709","56.1709","56.1754","55.7500","","0.00%"
"11/28/2023","56.1709","56.1684","56.1714","55.6850","","0.00%"
"11/27/2023","56.1684","56.1639","56.1684","55.6700","","0.01%"
"11/24/2023","56.1639","56.1612","56.1639","55.6550","","0.00%"
"11/23/2023","56.1612","56.1564","56.1612","55.9347","","0.01%"
"11/22/2023","56.1564","55.9364","56.1564","55.9364","","0.91%"
"11/21/2023","55.6503","55.9314","55.9392","55.5750","","0.02%"
"11/20/2023","55.6403","55.9288","55.9370","55.5750","","0.01%"
"11/17/2023","55.6353","55.9244","55.9316","55.6200","","0.02%"
"11/16/2023","55.6264","55.9216","55.9244","55.6200","","0.01%"
"11/15/2023","55.6208","55.9169","55.9244","55.6150","","0.02%"
"11/14/2023","55.6114","55.9146","55.9169","55.6000","","0.01%"
"11/13/2023","55.6069","55.8028","55.9146","55.5416","","0.02%"
"11/10/2023","55.5969","55.9066","55.9124","55.6000","","0.01%"
"11/09/2023","55.5908","55.9021","55.9066","55.5200","","0.02%"
"11/08/2023","55.5819","55.8993","55.9049","55.5000","","0.01%"
"11/07/2023","55.5763","55.8943","55.9021","55.5000","","0.02%"
"11/06/2023","55.5663","55.8918","55.8943","55.4900","","0.01%"
"11/03/2023","55.5613","55.8871","55.8946","55.4600","","0.02%"
"11/02/2023","55.5519","55.8780","55.8871","55.4600","","0.03%"
"11/01/2023","55.5336","55.8586","55.8780","55.4500","","0.07%"
"10/31/2023","55.4947","55.8586","55.8755","55.4500","","0.00%"
"10/30/2023","55.4947","55.8586","55.8586","55.4500","","0.00%"
"10/27/2023","55.4947","55.8505","55.8586","55.5000","","0.03%"
"10/26/2023","55.4786","55.8450","55.8533","55.5000","","0.02%"
"10/25/2023","55.4675","55.8316","55.8478","55.4250","","0.05%"
"10/24/2023","55.4409","55.8316","55.8423","55.4500","","0.00%"
"10/23/2023","55.4409","55.8231","55.8344","55.4500","","0.03%"
"10/20/2023","55.4237","55.8084","55.8259","55.3550","","0.05%"
"10/19/2023","55.3944","55.8084","55.8200","55.4100","","0.00%"
"10/18/2023","55.3944","55.8028","55.8112","55.3750","","-0.73%"
"10/17/2023","55.8028","55.7937","55.8056","55.3833","","0.02%"
"10/16/2023","55.7937","55.6418","55.7937","55.4000","","0.01%"
"10/13/2023","55.7882","55.7721","55.7882","55.6147","","0.03%"
"10/12/2023","55.7721","55.7721","55.7788","55.2950","","0.00%"
"10/11/2023","55.7721","55.7633","55.7749","55.5709","","0.02%"
"10/10/2023","55.7633","55.7578","55.7661","55.3100","","0.01%"
"10/09/2023","55.7578","55.7486","55.7578","55.5605","","0.02%"
"10/06/2023","55.7486","55.7321","55.7486","55.3100","","0.03%"
"10/05/2023","55.7321","55.7321","55.7415","55.2900","","0.00%"
"10/04/2023","55.7321","55.7293","55.7321","55.2500","","0.00%"
"10/03/2023","55.7293","55.7248","55.7293","55.2500","","0.01%"
"10/02/2023","55.7248","55.7224","55.7248","55.2400","","0.00%"
"09/29/2023","55.7224","55.3129","55.7224","55.2400","","0.92%"
"09/28/2023","55.2124","55.3129","55.3129","55.2400","","0.00%"
"09/27/2023","55.2124","55.3129","55.3129","55.2400","","0.00%"
"09/26/2023","55.2124","55.3106","55.3312","55.2400","","0.01%"
"09/25/2023","55.2080","55.3063","55.3290","55.2500","","0.02%"
"09/22/2023","55.1992","55.3041","55.4752","55.3041","","0.01%"
"09/21/2023","55.1948","55.2988","55.3465","55.2100","","0.02%"
"09/20/2023","55.1843","55.2963","55.3016","55.2200","","0.01%"
"09/19/2023","55.1793","55.2921","55.2963","55.2200","","0.02%"
"09/18/2023","55.1710","55.2900","55.4468","55.1750","","0.01%"
"09/15/2023","55.1666","55.2831","55.2954","55.1500","","0.03%"
"09/14/2023","55.1528","55.2831","55.2831","55.1500","","0.00%"
"09/13/2023","55.1528","55.2784","55.2831","55.2784","","0.02%"
"09/12/2023","55.1435","55.2784","55.2812","55.2000","","0.00%"
"09/11/2023","55.1435","55.2762","55.4192","55.2000","","0.01%"
"09/08/2023","55.1391","55.2696","55.4148","55.1250","","0.02%"
"09/07/2023","55.1258","55.2696","55.4058","55.1000","","0.00%"
"09/06/2023","55.1258","55.2649","55.4015","55.0550","","0.02%"
"09/05/2023","55.1165","55.2607","55.3921","55.0100","","0.02%"
"09/04/2023","55.1082","55.2583","55.3838","55.2583","","0.01%"
"09/01/2023","55.1032","55.2538","55.3787","55.2114","","0.02%"
"08/31/2023","55.0944","55.2390","55.3699","55.2390","","0.05%"
"08/30/2023","55.0647","55.2390","55.3522","55.2114","","0.00%"
"08/29/2023","55.0647","55.2296","55.3400","55.2114","","0.03%"
"08/28/2023","55.0460","55.2247","55.3213","55.2021","","0.02%"
"08/25/2023","55.0361","55.2159","55.2302","55.1972","","0.03%"
"08/24/2023","55.0185","55.2107","55.2936","54.9750","","0.02%"
"08/23/2023","55.0080","55.1961","55.2739","55.1686","","0.05%"
"08/22/2023","54.9789","55.1961","55.1994","54.9700","","0.00%"
"08/21/2023","54.9789","55.1873","55.2538","54.9400","","0.03%"
"08/18/2023","54.9613","55.1813","55.2361","54.9400","","0.02%"
"08/17/2023","54.9492","55.1719","55.1840","54.9300","","0.03%"
"08/16/2023","54.9305","55.1667","55.2052","54.9200","","0.02%"
"08/15/2023","54.9201","55.1576","55.1947","54.9386","","0.03%"
"08/14/2023","54.9020","55.1516","55.1765","54.8500","","0.02%"
"08/11/2023","54.8899","55.1367","55.1643","55.1241","","0.05%"
"08/10/2023","54.8602","55.1367","55.1455","55.1194","","0.00%"
"08/09/2023","54.8602","55.1280","55.1367","55.1280","","0.03%"
"08/08/2023","54.8427","55.1231","55.1307","55.1001","","0.02%"
"08/07/2023","54.8328","55.1140","55.1258","55.0873","","0.03%"
"08/04/2023","54.8147","55.1093","55.1167","54.7900","","0.02%"
"08/03/2023","54.8054","55.1006","55.1093","54.7800","","0.03%"
"08/02/2023","54.7879","55.0956","55.1034","54.7700","","0.02%"
"08/01/2023","54.7780","55.0872","55.0956","54.7600","","0.03%"
"07/31/2023","54.7611","55.0825","55.0872","54.7500","","0.02%"
"07/28/2023","54.7517","55.0801","55.0825","54.7300","","0.01%"
"07/27/2023","54.7468","55.0751","55.0801","54.7300","","0.02%"
"07/26/2023","54.7370","55.0727","55.0807","54.7300","","0.01%"
"07/25/2023","54.7320","55.0667","55.0934","54.7200","","0.02%"
"07/24/2023","54.7200","55.0639","55.0694","54.7050","","0.01%"
"07/21/2023","54.7145","55.0590","55.0737","54.6850","","0.02%"
"07/20/2023","54.7047","55.0565","55.0688","54.6850","","0.01%"
"07/19/2023","54.6998","55.0513","55.0620","54.6800","","0.02%"
"07/18/2023","54.6894","55.0484","55.0659","54.6800","","0.01%"
"07/17/2023","54.6834","54.9568","55.0569","54.6600","","0.02%"
"07/14/2023","54.6735","55.0406","55.0475","54.6600","","0.01%"
"07/13/2023","54.6680","55.0358","55.0434","54.6500","","0.02%"
"07/12/2023","54.6582","55.0333","55.1097","54.9114","","0.01%"
"07/11/2023","54.6533","55.0275","55.0540","54.6000","","0.02%"
"07/10/2023","54.6418","55.0251","55.0444","54.6100","","0.01%"
"07/07/2023","54.6369","55.0202","55.0415","54.6100","","0.02%"
"07/06/2023","54.6271","55.0169","55.0385","54.6100","","0.01%"
"07/05/2023","54.6205","55.0117","55.0440","54.8860","","0.02%"
"07/04/2023","54.6101","55.0093","55.0117","54.5200","","0.01%"
"07/03/2023","54.6052","55.0038","55.0093","54.6000","","-0.72%"
"06/30/2023","55.0038","54.9953","55.0121","54.5700","","0.02%"
"06/29/2023","54.9953","54.9902","55.1045","54.5600","","0.01%"
"06/28/2023","54.9902","54.9902","55.0107","54.5550","","0.00%"
"06/27/2023","54.9902","54.9819","55.0349","54.5500","","0.01%"
"06/26/2023","54.9819","54.9762","54.9819","54.5300","","0.01%"
"06/23/2023","54.9762","54.9678","54.9762","54.5200","","0.02%"
"06/22/2023","54.9678","54.9623","54.9733","54.5000","","0.01%"
"06/21/2023","54.9623","54.9544","54.9678","54.5000","","0.01%"
"06/20/2023","54.9544","54.9492","54.9725","54.4400","","0.01%"
"06/19/2023","54.9492","54.9408","54.9492","54.4400","","0.02%"
"06/16/2023","54.9408","54.9356","54.9408","54.4400","","0.01%"
"06/15/2023","54.9356","54.9274","54.9472","54.4150","","0.01%"
"06/14/2023","54.9274","54.9217","54.9302","54.4000","","0.01%"
"06/13/2023","54.9217","54.9133","54.9472","54.4500","","0.02%"
"06/12/2023","54.9133","54.6526","54.9472","54.4100","","0.94%"
"06/09/2023","54.4025","54.6444","54.7495","54.3900","","0.03%"
"06/08/2023","54.3861","54.6387","54.7891","54.4000","","0.02%"
"06/07/2023","54.3747","54.6303","54.7414","54.3950","","0.03%"
"06/06/2023","54.3579","54.6251","54.7716","54.3900","","0.02%"
"06/05/2023","54.3475","54.6170","54.6251","54.3600","","0.03%"
"06/02/2023","54.3312","54.6115","54.6170","54.3000","","0.02%"
"06/01/2023","54.3204","54.6034","54.7358","54.3500","","0.03%"
"05/31/2023","54.3041","54.5996","54.6062","54.3250","","0.01%"
"05/30/2023","54.2965","54.5977","54.6023","54.3000","","0.01%"
"05/29/2023","54.2927","54.5931","54.5977","54.5931","","0.02%"
"05/26/2023","54.2835","54.5914","54.5959","54.2750","","0.01%"
"05/25/2023","54.2802","54.5871","54.5942","54.3000","","0.02%"
"05/24/2023","54.2715","54.5849","54.5899","54.2500","","0.01%"
"05/23/2023","54.2672","54.5806","54.6847","54.2500","","0.02%"
"05/22/2023","54.2585","54.5787","54.6632","54.2400","","0.01%"
"05/19/2023","54.2547","54.5741","54.6096","54.2400","","0.02%"
"05/18/2023","54.2455","54.5717","54.5769","54.2400","","0.01%"
"05/17/2023","54.2406","54.5678","54.6307","54.2400","","0.01%"
"05/16/2023","54.2330","54.5662","54.6307","54.2400","","0.01%"
"05/15/2023","54.2297","54.5619","54.5662","54.2100","","0.02%"
"05/12/2023","54.2211","54.5597","54.6572","54.2100","","0.01%"
"05/11/2023","54.2167","54.5537","54.5597","54.2050","","0.02%"
"05/10/2023","54.2048","54.5537","54.6484","54.2100","","0.00%"
"05/09/2023","54.2048","54.5497","54.5654","54.2100","","0.01%"
"05/08/2023","54.1967","54.4677","54.6138","54.2100","","0.01%"
"05/05/2023","54.1929","54.5478","54.5533","54.2250","","0.00%"
"05/04/2023","54.1929","54.5432","54.5505","54.2000","","0.02%"
"05/03/2023","54.1837","54.5410","54.6013","54.1600","","0.01%"
"05/02/2023","54.1793","54.5362","54.5438","54.1450","","0.02%"
"05/01/2023","54.1696","54.5362","54.5389","54.1400","","0.00%"
"04/28/2023","54.1696","54.5272","54.5432","54.1350","","0.03%"
"04/27/2023","54.1517","54.5220","54.5597","54.1350","","0.02%"
"04/26/2023","54.1414","54.5134","54.5426","54.1200","","0.03%"
"04/25/2023","54.1241","54.5080","54.5521","54.0600","","0.02%"
"04/24/2023","54.1133","54.4939","54.5107","54.0600","","-0.70%"
"04/21/2023","54.4939","54.4939","54.4967","54.0800","","0.00%"
"04/20/2023","54.4939","54.4853","54.4939","54.0050","","0.02%"
"04/19/2023","54.4853","54.4801","54.5770","54.3331","","0.01%"
"04/18/2023","54.4801","54.4715","54.5457","54.0050","","0.02%"
"04/17/2023","54.4715","54.4661","54.5432","54.0000","","0.01%"
"04/14/2023","54.4661","54.4661","54.5432","54.0000","","0.00%"
"04/13/2023","54.4661","54.4572","54.5336","54.0200","","0.02%"
"04/12/2023","54.4572","54.4523","54.4856","54.0000","","0.01%"
"04/11/2023","54.4523","54.4437","54.4668","54.0150","","0.02%"
"04/10/2023","54.4437","54.2546","54.4437","53.9700","","0.03%"
"04/07/2023","54.4296","54.4296","54.4385","53.9500","","0.00%"
"04/06/2023","54.4296","54.4248","54.4296","53.9100","","0.01%"
"04/05/2023","54.4248","54.4165","54.4248","53.9100","","0.02%"
"04/04/2023","54.4165","54.4108","54.4165","53.9100","","0.01%"
"04/03/2023","54.4108","54.4027","54.4108","53.9000","","0.01%"
"03/31/2023","54.4027","53.8989","54.4971","53.8500","","0.94%"
"03/30/2023","53.8978","53.8943","54.1673","53.8500","","0.02%"
"03/29/2023","53.8887","53.8917","54.1623","53.8500","","0.01%"
"03/28/2023","53.8833","53.8876","54.1527","53.8500","","0.02%"
"03/27/2023","53.8752","53.8610","54.1446","53.8251","","0.01%"
"03/24/2023","53.8704","53.8803","54.1398","53.8582","","0.02%"
"03/23/2023","53.8607","53.8479","53.8962","53.8285","","0.03%"
"03/22/2023","53.8456","53.8479","54.1124","53.8210","","0.00%"
"03/21/2023","53.8456","53.8455","53.8508","53.8210","","0.01%"
"03/20/2023","53.8407","53.8404","54.1253","53.8063","","0.21%"
"03/17/2023","53.7300","53.8377","54.0997","53.7752","","-0.18%"
"03/16/2023","53.8251","53.8377","54.0942","53.7752","","0.21%"
"03/15/2023","53.7100","53.8304","54.1129","53.7500","","-0.19%"
"03/14/2023","53.8106","53.8256","54.0797","53.7250","","0.02%"
"03/13/2023","53.8009","53.8234","54.0699","53.7701","","0.01%"
"03/10/2023","53.7966","53.8191","54.0656","53.7651","","0.02%"
"03/09/2023","53.7880","53.8167","54.0569","53.7651","","0.01%"
"03/08/2023","53.7832","53.8116","54.0521","53.7200","","0.02%"
"03/07/2023","53.7729","53.8089","54.0418","53.7100","","0.01%"
"03/06/2023","53.7676","53.7775","54.0364","53.7050","","0.02%"
"03/03/2023","53.7579","53.8017","53.8590","53.7551","","0.01%"
"03/02/2023","53.7531","53.8017","53.8565","53.7250","","0.00%"
"03/01/2023","53.7531","53.7974","54.0219","53.7705","","0.02%"
"02/28/2023","53.7445","53.7920","54.0132","53.7000","","0.02%"
"02/27/2023","53.7337","53.7840","54.0355","53.7000","","0.03%"
"02/24/2023","53.7176","53.7783","54.0274","53.6750","","0.02%"
